标题,缩略图,item-brand,cm-price-interger,cm-price-interger1
科颜氏牛油果眼霜两只装,https://pic.cdfgsanya.com/assets/upload/product/91713e51d6c962d082ea09192ced8a4d_400x400.jpg,Kiehl's 科颜氏,647,980
特润肌透修护精华露+眼部密集精华,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/302656_1_pic400_1154.jpg,Estée Lauder 雅诗兰黛,960,1440
黛珂保湿美容液 60毫升套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/316046_1_pic400_5030.JPG,COSME DECORTE 黛珂,1276,1780
兰芝水衡透润精华水套装,https://pic.cdfgsanya.com/assets/upload/product/ef22890a9d0010faa0e20f2a2845a221_400x400.JPG,LANEIGE 兰芝,259,400
鲜活亮采红石榴倍润水套装（滋润型）,https://pic.cdfgsanya.com/assets/upload/product/c8050db0b75296fa7134293c3a66ac23_400x400.jpg,Estée Lauder 雅诗兰黛,532,760
兰芝雪纱丝柔修颜隔离霜60号 两支装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/349384_1_pic400_1329.JPG,LANEIGE 兰芝,270,375
雅漾舒护活泉喷雾三支装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/280121_1_pic400_9253.jpg,Avene 雅漾,308,450
肌肤之钥光采赋活精华水（湿润型）套装,https://pic.cdfgsanya.com/assets/upload/product/617033d18056bca4f4b33aed0216a78d_400x400.jpg,Clé de Peau Beauté 肌肤之钥,1985,2800
倩碧卓越润肤凝露两支装,https://pic.cdfgsanya.com/assets/upload/product/549777f289a6d28c88c25caf91b108bc_400x400.jpg,CLINIQUE 倩碧,359,550
后津率享红华凝香平颜滋养液套装,https://pic.cdfgsanya.com/assets/upload/product/592c3def7d416b3059cf63d6360fb9ad_400x400.JPG,Whoo 后,961,1300
特润密集修护浓缩精华素套装,https://pic.cdfgsanya.com/assets/upload/product/2e2ffd3dd2c2d674aa2600ef3ac401d5_400x400.jpg,Estée Lauder 雅诗兰黛,925,1380
雪花秀滋盈肌本护肤礼盒,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/349576_1_pic400_7886.JPG,Sulwhasoo 雪花秀,560,730
雅诗兰黛鲜活亮采旅游套装,https://pic.cdfgsanya.com/assets/upload/product/b7d9f939ac1e8d1cc4a988f6bc08419f_400x400.jpg,Estée Lauder 雅诗兰黛,1389,
后拱辰享气韵生润颜滋养液 套装,https://pic.cdfgsanya.com/assets/upload/product/b7a7a9cb8379f6f21c1679afc65f58d8_400x400.JPG,Whoo 后,801,1220
悦木之源活性炭毛孔净透面膜超值双件套装,https://pic.cdfgsanya.com/assets/upload/product/ad73542aad68251baf5823fc007fc9b6_400x400.jpg,ORIGINS 悦木之源,278,480
SK-II微肌因赋活修护精华露双瓶装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/277713_1_pic400_4519.jpg,SK-II,1633,2460
苏秘37 ° 惊喜水分三件套,https://pic.cdfgsanya.com/assets/upload/product/3faf8fbbb4448e5773f93efa740dd50f_400x400.JPG,su:m37° 苏秘37°,575,720
雪花秀润致滋盈3件套装,https://pic.cdfgsanya.com/assets/upload/product/18c44de003b39ac7fbc7866e263a4ba0_400x400.JPG,Sulwhasoo 雪花秀,955,1200
肌初赋活原生液两支装限量版2020,https://pic.cdfgsanya.com/assets/upload/product/d84d4bd442176152d8ecf775367af701_400x400.jpg,Estée Lauder 雅诗兰黛,1190,1560
弹力多肽系列旅行3件装,https://pic.cdfgsanya.com/assets/upload/product/a38f483398dc1d80672c89f72cb47dc6_400x400.jpg,Estée Lauder 雅诗兰黛,1575,2270
菲洛嘉晴采靓丽眼霜套装 15ML*2,https://pic.cdfgsanya.com/assets/upload/product/0a0b33df8803687256c78801f5bc0d4d_400x400.JPG,FILORGA 菲洛嘉,487,650
白金级花菁萃紧颜焕活眼霜（两支装）,https://pic.cdfgsanya.com/assets/upload/product/dab4098bb8358343962c4a0ae3a05249_400x400.jpg,Estée Lauder 雅诗兰黛,1285,1830
兰芝夜间修护睡眠面膜两支装,https://pic.cdfgsanya.com/assets/upload/product/db4775f9cde29ec97a8d05eff0b19b3f_400x400.jpg,LANEIGE 兰芝,253,390
雪花秀撕拉面膜+与润修护睡眠面膜套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/341357_1_pic400_3194.JPG,Sulwhasoo 雪花秀,419,520
娇韵诗青春赋活护肤套装,https://pic.cdfgsanya.com/assets/upload/product/67e87f28e2227f28fc82fb0bd045a468_400x400.JPG,CLARINS 娇韵诗,1676,2400
娇兰帝皇蜂姿修护复原蜜+双效精华套装,https://pic.cdfgsanya.com/assets/upload/product/5c6601b2bb7ea70c6b30cbfe2091ae56_400x400.jpg,GUERLAIN 娇兰,2027,2500
肌肤之钥御龄防晒乳霜套装,https://pic.cdfgsanya.com/assets/upload/product/12118c4db16dc3941d4d734e094a6192_400x400.jpg,Clé de Peau Beauté 肌肤之钥,1115,1800
兰芝水衡透润基础两件套裝,https://pic.cdfgsanya.com/assets/upload/product/26cc629165ff4a5e61940cfba12dfe8a_400x400.JPG,LANEIGE 兰芝,228,410
SK-II保湿护肤精华套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/287068_1_pic400_7935.jpg,SK-II,2095,2673
娇韵诗焕颜弹力日霜套装,https://pic.cdfgsanya.com/assets/upload/product/f96e02d561314b3a640b93d9d66702d1_400x400.JPG,CLARINS 娇韵诗,1066,1530
悦诗风吟新绿茶精萃平衡柔肤水套装,https://pic.cdfgsanya.com/assets/upload/product/f8effca93b753222d18e58a9f07c5d1c_400x400.JPG,innisfree 悦诗风吟,155,230
苏秘37°时光肌底修肤水套装,https://pic.cdfgsanya.com/assets/upload/product/a885b86ad36f7b4e0bbed5074ee56622_400x400.JPG,su:m37° 苏秘37°,495,600
海蓝之谜精华面霜套装1,https://pic.cdfgsanya.com/assets/upload/product/bfe893b0ccdac3aab3589e56c4413cdd_400x400.jpg,LA MER 海蓝之谜,4936,6730
欧舒丹幸运润手霜八支装,https://pic.cdfgsanya.com/assets/upload/product/3ae116c64c2cfbb184b4b4a65c4f277e_400x400.JPG,L'OCCITANE 欧舒丹,480,720
希思黎全能乳液 套装,https://pic.cdfgsanya.com/assets/upload/product/ee26fb5d8c08d8a473d60d479c174efb_400x400.JPG,sisley 希思黎,1245,1720
海蓝之谜舒愈修护系列,https://pic.cdfgsanya.com/assets/upload/product/a53b47363d4c760b26b0c4f539153c2f_400x400.jpg,LA MER 海蓝之谜,3748,4700
娇韵诗双萃焕活修护精华露套装,https://pic.cdfgsanya.com/assets/upload/product/a9a29fe5dd06371f5cbaa13fc645f5e0_400x400.JPG,CLARINS 娇韵诗,1898,2370
后拱辰享水沄清透平衡液套装,https://pic.cdfgsanya.com/assets/upload/product/8a09791ec4ffbd558818d5c2363f0f1b_400x400.JPG,Whoo 后,720,980
娇韵诗焕颜弹力眼霜 套装,https://pic.cdfgsanya.com/assets/upload/product/39fe36662c4a469ebfcf791e8613d393_400x400.JPG,CLARINS 娇韵诗,709,1000
赫莲娜绿宝瓶精华露 75ML*2,https://pic.cdfgsanya.com/assets/upload/product/af0661b8b3f7eea93465b28c42663be6_400x400.jpg,HELENA RUBINSTEIN 赫莲娜,2712,3800
雪花秀与润修护睡眠面膜 120ML*2,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/287584_1_pic400_7416.JPG,Sulwhasoo 雪花秀,437,620
兰芝保湿滋养洁颜膏套装,https://pic.cdfgsanya.com/assets/upload/product/ae338a73ddf92c7e6dcfa6ccbbe080a3_400x400.JPG,LANEIGE 兰芝,173,300
特润修护肌透精华露+浓缩精华素,https://pic.cdfgsanya.com/assets/upload/product/68bbcd5d03b0d75ddea8b78aba485abb_400x400.jpg,Estée Lauder 雅诗兰黛,1042,
肌活蕴能精华套装,https://pic.cdfgsanya.com/assets/upload/product/47fb3d7bcee046ac96cfed6545cbe686_400x400.jpg,DIOR 迪奥,1410,
后拱辰享雪玉凝系列三件套,https://pic.cdfgsanya.com/assets/upload/product/39081e05d0cd37c2ebe4f08501f0e73c_400x400.JPG,Whoo 后,900,1160
兰芝多效净肤洁颜膏套装,https://pic.cdfgsanya.com/assets/upload/product/cce4944c8809ce44e2b3888920a23f41_400x400.JPG,LANEIGE 兰芝,561,1280
悦诗风吟绿茶籽精萃水分肌底菁露 套装,https://pic.cdfgsanya.com/assets/upload/product/316c3e3942587d85f86fccd12056fd35_400x400.JPG,innisfree 悦诗风吟,290,400
白金级花菁萃紧颜焕活滋养霜套装,https://pic.cdfgsanya.com/assets/upload/product/8753d954b66a5bc005307ce1aa1eee10_400x400.jpg,Estée Lauder 雅诗兰黛,4335,6000
馥蕾诗玫瑰沁润明星套装,https://pic.cdfgsanya.com/assets/upload/product/917548633ae1cf3386fc942a4b11da5b_400x400.JPG,Fresh 馥蕾诗,758,1080
娇兰帝皇蜂姿双效修护精华露双支装,https://pic.cdfgsanya.com/assets/upload/product/7842545dc7fb501d2c4ade289ea2d8ce_400x400.jpg,GUERLAIN 娇兰,2452,3400
奇迹丰盈抗皱精华露套装,https://pic.cdfgsanya.com/assets/upload/product/cf1d575fdc1286ffc85146d7c6384b8a_400x400.jpg,Estée Lauder 雅诗兰黛,2220,2800
黛珂时光活妍美白套装,https://pic.cdfgsanya.com/assets/upload/product/300512da11a5f7e7fdf204a097c82642_400x400.JPG,COSME DECORTE 黛珂,1300,1650
馥蕾诗大豆精萃卸妆洁颜凝露两支装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/349281_1_pic400_6882.JPG,Fresh 馥蕾诗,475,640
科颜氏限量保湿护肤必备礼盒,https://pic.cdfgsanya.com/assets/upload/product/c656fb2f0743e207896e20bc761a9355_400x400.jpg,Kiehl's 科颜氏,1035,1460
ORIGINS明星面膜免税套装,https://pic.cdfgsanya.com/assets/upload/product/46c807226aaf09d33eb4b4e88705acf7_400x400.jpg,ORIGINS 悦木之源,396,565
后 秘贴焕然新生精华液 5件套,https://pic.cdfgsanya.com/assets/upload/product/7a7780e71813698ea4451c19435c6d53_400x400.JPG,Whoo 后,895,1150
ORIGINS韦博士灵芝焕能好底子护理套装,https://pic.cdfgsanya.com/assets/upload/product/97e9e67e8aef238fdd031d0a9dd7f751_400x400.jpg,ORIGINS 悦木之源,650,965
娇韵诗青春赋活日间霜+晚霜套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/289794_1_pic400_3731.JPG,CLARINS 娇韵诗,869,1250
伊丽莎白雅顿复合面霜套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/329659_1_pic400_9219.JPG,Elizabeth Arden 雅顿,338,480
资生堂盼丽风姿智感抚痕眼霜两只装,https://pic.cdfgsanya.com/assets/upload/product/91f7f4a83bb8993c07a9a16d5576a604_400x400.jpg,SHISEIDO 资生堂,616,760
菲洛嘉柔润亮泽面膜套装 15ML+50ML,https://pic.cdfgsanya.com/assets/upload/product/ed64dea9d8c0c2fd4c946a26decbf22d_400x400.JPG,FILORGA 菲洛嘉,487,650
伊丽莎白雅顿超时空金致导航精华液,https://pic.cdfgsanya.com/assets/upload/product/5d821c811e3ed0db9f69d95a6568df84_400x400.jpg,Elizabeth Arden 雅顿,999,1302
馥蕾诗玫瑰润泽保湿舒缓面膜两只装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/288902_1_pic400_6539.JPG,Fresh 馥蕾诗,722,910
花秘瑰萃玫瑰微凝珠精萃液,https://pic.cdfgsanya.com/assets/upload/product/6941261371e4a4c0073c570b3d4de704_400x400.jpg,DIOR 迪奥,1208,
植村秀绿茶新肌洁颜油两支装,https://pic.cdfgsanya.com/assets/upload/product/cb8f0f2432971c37f57b0030cffe2a6f_400x400.jpg,shu uemura 植村秀,955,1180
兰芝致美紧颜 五件套装,https://pic.cdfgsanya.com/assets/upload/product/025fc4b80fe4feb288ae1bbd04dd3bb0_400x400.JPG,LANEIGE 兰芝,777,980
悦诗风吟绿茶精萃保湿泡沫洁面乳套装,https://pic.cdfgsanya.com/assets/upload/product/4b72f24b142527058d1364694fc4738f_400x400.JPG,innisfree 悦诗风吟,129,180
肌肤之钥光采赋活精华水套装（湿润型）,https://pic.cdfgsanya.com/assets/upload/product/6bbe47c3f48697f4041313cecfe683c0_400x400.jpg,Clé de Peau Beauté 肌肤之钥,1195,1760
欧舒丹粉花润手霜三件套,https://pic.cdfgsanya.com/assets/upload/product/5992631d85e4c2733ea5ff9b1e97fb9f_400x400.JPG,L'OCCITANE 欧舒丹,388,540
菲洛嘉多重抗老明星套装,https://pic.cdfgsanya.com/assets/upload/product/889052114be36b864038daa5b9882db2_400x400.jpg,FILORGA 菲洛嘉,515,650
黛珂AQ珍萃精颜臻悦洗颜露套装,https://pic.cdfgsanya.com/assets/upload/product/733cec983ed27cc0214d070d9ed51b1b_400x400.JPG,COSME DECORTE 黛珂,998,1600
欧舒丹乳木果润手霜四件装,https://pic.cdfgsanya.com/assets/upload/product/764a6f915b36bf802aa00038909980ce_400x400.JPG,L'OCCITANE 欧舒丹,262,380
黛珂AQ舒活乳水霜基础套装,https://pic.cdfgsanya.com/assets/upload/product/56c0f20c8607f5b3d3542a114cabb8bb_400x400.jpg,COSME DECORTE 黛珂,1953,2440
桃谷大米精华化妆水套装,https://pic.cdfgsanya.com/assets/upload/product/fcc42a32da92bed1ca31a2f0b6454bfd_400x400.jpg,MOMOTANI 桃谷,75,115
馥蕾诗澄糖亮颜磨砂面膜套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/289675_2_pic400_7454.JPG,Fresh 馥蕾诗,722,1080
控油小安瓶套组,https://pic.cdfgsanya.com/assets/upload/product/5abdfa5b2c1277887ad0e1a0189ab1fa_400x400.jpg,BOBBI BROWN 芭比波朗,565,1180
雪花秀滋阴免税专用 3件套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/349722_1_pic400_8792.JPG,Sulwhasoo 雪花秀,975,1440
倩碧卓越润肤凝露套装,https://pic.cdfgsanya.com/assets/upload/product/5211162efe3e867b5c10743c11539f5b_400x400.jpg,CLINIQUE 倩碧,468,550
娇韵诗清透防晒乳 (自然色）套装,https://pic.cdfgsanya.com/assets/upload/product/cfd16660768d2064c3dcd60015416032_400x400.JPG,CLARINS 娇韵诗,739,840
雪肌精水乳组合套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/325921_1_pic400_281.JPG,SEKKISEI 雪肌精,445,630
欧缇丽臻美亮白精华液两支装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/323518_1_pic400_3757.jpg,Caudalie 欧缇丽,690,1020
资生堂红妍肌活脸和眼部护理组合,https://pic.cdfgsanya.com/assets/upload/product/0df0c40466a3c2ee7dd739ab239b26aa_400x400.jpg,SHISEIDO 资生堂,1331,2015
欧莱雅金致臻颜日霜典藏版套装,https://pic.cdfgsanya.com/assets/upload/product/81b43f7452347dfefc1ebb1e78ee9b0c_400x400.jpg,L'OREAL 欧莱雅,499,650
倩碧鲜活维C修复精华液,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/347915_1_pic400_1327.jpg,CLINIQUE 倩碧,762,1150
伊丽莎白雅顿时空焕活眼部胶囊精华液,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/348262_1_pic400_9596.JPG,Elizabeth Arden 雅顿,530,680
欧莱雅清润水凝修护精华3支装,https://pic.cdfgsanya.com/assets/upload/product/5f8a9e468c9d947ec344b16137a902a0_400x400.jpg,L'OREAL 欧莱雅,253,360
资生堂新红妍肌活精华露100ML*2,https://pic.cdfgsanya.com/assets/upload/product/8431bbdd69d31aa3cd7d9c42b874f746_400x400.jpg,SHISEIDO 资生堂,1928,2410
菲洛嘉焕龄时光抗皱套装,https://pic.cdfgsanya.com/assets/upload/product/10afe77a1fc17152f92255bed4038bed_400x400.jpg,FILORGA 菲洛嘉,843,1050
雪花秀玉璨净柔面膜 两支装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/288535_1_pic400_7747.JPG,Sulwhasoo 雪花秀,350,460
修丽可肌抵御肌肤衰老套装,https://pic.cdfgsanya.com/assets/upload/product/5c89ce1637e50e9dbc9aa30e4d583d0a_400x400.jpg,SKINCEUTICALS 修丽可,2588,3045
雅顿8小时润唇膏SPF15,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/271294_1_pic400_9597.jpg,Elizabeth Arden 雅顿,278,400
兰蔻新立体焕亮紧肤套装,https://pic.cdfgsanya.com/assets/upload/product/6ca6d2c67003b904358ec11c33e85c4e_400x400.jpg,LANCÔME 兰蔻,1522,1900
娇兰帝皇蜂姿紧致柔润日霜套装,https://pic.cdfgsanya.com/assets/upload/product/d5afc55e01834bc2835134afe08557ad_400x400.jpg,GUERLAIN 娇兰,1842,2600
倩碧水嫩保湿润肤套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/348772_1_pic400_9552.jpg,CLINIQUE 倩碧,473,
植村秀全新绿茶新肌洁颜油套装,https://pic.cdfgsanya.com/assets/upload/product/9ea853ae6e9936a737a21e3383ca0966_400x400.jpg,shu uemura 植村秀,303,430
娇韵诗轻透防晒乳（润粉色）套装,https://pic.cdfgsanya.com/assets/upload/product/696782e3a0237ed47b5c94a682b12dd9_400x400.jpg,CLARINS 娇韵诗,739,840
科颜氏新集焕白均衡亮肤淡斑精华液套装,https://pic.cdfgsanya.com/assets/upload/product/544cbf6905da444596220b1aeda4bfa3_400x400.jpg,Kiehl's 科颜氏,1150,1430
蒂佳婷水动力活力水润面膜套装2019,https://pic.cdfgsanya.com/assets/upload/product/1ab72a715bc32f51d9621af52a8afa53_400x400.JPG,Dr.Jart+ 蒂佳婷,425,590
后秘贴焕然修护精华液 套装,https://pic.cdfgsanya.com/assets/upload/product/753bb54cb42ac1e6c73e9f513a0309da_400x400.JPG,Whoo 后,1829,2300
后秘贴清颜顺滑精华液套装,https://pic.cdfgsanya.com/assets/upload/product/b87bfdbb4fb9bb9132b7bc4c8eb9dafd_400x400.JPG,Whoo 后,826,1280
菲洛嘉水漾润养基础套装,https://pic.cdfgsanya.com/assets/upload/product/1a04cf506da0f616d8f737e89c0d3438_400x400.jpg,FILORGA 菲洛嘉,697,860
兰芝夜间舒缓修护睡眠面膜套装,https://pic.cdfgsanya.com/assets/upload/product/7fa054a47e8f3adea2a656a5294d2161_400x400.JPG,LANEIGE 兰芝,253,380
碧欧泉男士净肤细致洁面膏+保湿露套装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/308103_4849069_pic400_4998.jpg,BIOTHERM 碧欧泉,445,630
倩碧眼部按摩精华露两只装,https://pic.cdfgsanya.com/assets/upload/product/1/991142/610/237571/277212_2_pic400_9126.jpg,CLINIQUE 倩碧,507,620
活肤驻颜修复昼夜护肤组合,https://pic.cdfgsanya.com/assets/upload/product/ba405ec24679678b21710131875ee760_400x400.jpg,DIOR 迪奥,1558,
肌活蕴能精华套装,https://pic.cdfgsanya.com/assets/upload/product/0b31c7967f33ad7a18064d3ada77c9be_400x400.jpg,DIOR 迪奥,1460,
LABSERIES保湿修护爽肤水套装,https://pic.cdfgsanya.com/assets/upload/product/50a76c9e1fbec5289286d857b9b9bf63_400x400.jpg,LAB SERIES 朗仕,386,500
娇兰帝皇蜂姿抗皱赋源眼霜套装,https://pic.cdfgsanya.com/assets/upload/product/3b3711127a55a92c3811c6ac28bbe33d_400x400.jpg,GUERLAIN 娇兰,1050,1480
倩碧水嫩保湿润肤霜（升级版）两支装,https://pic.cdfgsanya.com/assets/upload/product/601/603/348143_4935160_pic400_4526.jpg,CLINIQUE 倩碧,1057,
欧舒丹乳木果玫瑰护手霜三支装,https://pic.cdfgsanya.com/assets/upload/product/2882e880b0bbfce4166f45559934004c_400x400.JPG,L'OCCITANE 欧舒丹,513,730
赫莲娜绿宝瓶修护睡眠晚霜套装,https://pic.cdfgsanya.com/assets/upload/product/5952e6496d496bd3221f0e0bb9d7ad06_400x400.jpg,HELENA RUBINSTEIN 赫莲娜,1825,2580
